group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (dd_real)_supported,qdpp (dd_real)_worst_bits,qdpp (dd_real)_mean_bits,qdpp (dd_real)_domain_score,qdpp (dd_real)_inf_nan_correct,qdpp (dd_real)_gap_bits,qdpp (dd_real)_domain_gap_pp,qdpp (dd_real)_ns_iter,qdpp (dd_real)_speed_ratio
f128 <-> f128,add,f128,add,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.29622,4.33909,1.00998,qdpp (dd_real),-,-,-,1.00233,yes,-,-,-,-,-,-,4.30622,1.00233
f128 <-> f128,subtract,f128,subtract,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.28357,4.33492,1.01199,qdpp (dd_real),-,-,-,0.994935,yes,-,-,-,-,-,-,4.26188,0.994935
f128 <-> f128,multiply,f128,multiply,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.27253,4.40219,1.03035,qdpp (dd_real),-,-,-,1.00373,yes,-,-,-,-,-,-,4.28848,1.00373
f128 <-> f128,divide,f128,divide,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.31029,4.84805,1.12476,boost::multiprecision::cpp_double_double,-,-,-,1.12476,yes,-,-,-,-,-,-,13.5414,3.14165
Mixed Workloads,affine trig transform,f128,affine transform,mixed,stress,28,boost::multiprecision::cpp_double_double,yes,109.276,110.689,100,-,105.205,107.24,99.4373,-,4.07101,0.562711,128.3,1256.81,9.7959,qdpp (dd_real),3.95738,5.08906,1.28303,1.83863,yes,104.187,106.731,98.717,-,5.08906,1.28303,235.895,1.83863
Mixed Workloads,mandelbrot kernel,f128,mandelbrot,mixed,stress,3072,boost::multiprecision::cpp_double_double,yes,3.41619,152.228,51.3273,-,3.54951,152.561,51.36,-,-0.133319,-0.0326876,15.9267,25.1211,1.5773,qdpp (dd_real),1.83759,-0.185565,0.724835,1.15517,yes,3.60175,150.39,50.6024,-,-0.185565,0.724835,18.398,1.15517
Mixed Workloads,mixed arithmetic,f128,mixed arithmetic,mixed,stress,196,boost::multiprecision::cpp_double_double,yes,101.15,107.768,99.3608,-,101.15,107.768,99.3608,-,0,0,34.0004,65.6326,1.93035,boost::multiprecision::cpp_double_double,0,0,0,1.93035,yes,97.9223,106.017,98.3071,-,3.22762,1.05362,78.7487,2.31611
Rounding,floor,f128,floor,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.26606,4.27905,1.00304,boost::multiprecision::cpp_double_double,-,-,-,1.00304,yes,-,-,-,-,-,-,4.29183,1.00604
Rounding,ceil,f128,ceil,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.30453,4.30988,1.00124,qdpp (dd_real),-,-,-,1.00005,yes,-,-,-,-,-,-,4.30477,1.00005
Rounding,trunc,f128,trunc,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.29723,5.23255,1.21766,qdpp (dd_real),-,-,-,1.07806,yes,-,-,-,-,-,-,4.63266,1.07806
Rounding,round,f128,round,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.33495,7.05484,1.62743,qdpp (dd_real),-,-,-,0.995344,yes,-,-,-,-,-,-,4.31477,0.995344
Rounding,nearbyint,f128,nearbyint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.97405,7.03522,1.41439,qdpp (dd_real),-,-,-,0.865419,yes,-,-,-,-,-,-,4.30464,0.865419
Rounding,rint,f128,rint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.82603,7.09013,1.46914,qdpp (dd_real),-,-,-,0.894353,yes,-,-,-,-,-,-,4.31617,0.894353
Rounding,lround,f128,lround,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,12.9711,348.954,26.9025,boost::multiprecision::cpp_double_double,-,-,-,26.9025,no,-,-,-,-,-,-,-,-
Rounding,llround,f128,llround,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,12.6632,349.725,27.6175,boost::multiprecision::cpp_double_double,-,-,-,27.6175,no,-,-,-,-,-,-,-,-
Rounding,lrint,f128,lrint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,13.0427,346.589,26.5735,boost::multiprecision::cpp_double_double,-,-,-,26.5735,no,-,-,-,-,-,-,-,-
Rounding,llrint,f128,llrint,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,13.1726,348.8,26.4792,boost::multiprecision::cpp_double_double,-,-,-,26.4792,no,-,-,-,-,-,-,-,-
Remainders,fmod,f128,fmod,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,28.769,48.3237,1.67971,qdpp (dd_real),-,-,-,1.05495,yes,-,-,-,-,-,-,30.3499,1.05495
Remainders,remainder,f128,remainder,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,31.8731,51.4451,1.61406,qdpp (dd_real),-,-,-,0.981227,yes,-,-,-,-,-,-,31.2747,0.981227
Remainders,remquo,f128,remquo,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,32.4056,51.3897,1.58583,boost::multiprecision::cpp_double_double,-,-,-,1.58583,no,-,-,-,-,-,-,-,-
Floating-point utilities,abs,f128,fabs,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.27621,4.29111,1.00348,qdpp (dd_real),-,-,-,0.996201,yes,-,-,-,-,-,-,4.25996,0.996201
Floating-point utilities,fma,f128,fma,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.26951,17.2164,4.0324,boost::multiprecision::cpp_double_double,-,-,-,4.0324,no,-,-,-,-,-,-,-,-
Floating-point utilities,fmin,f128,fmin,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.30515,4.30949,1.00101,boost::multiprecision::cpp_double_double,-,-,-,1.00101,no,-,-,-,-,-,-,-,-
Floating-point utilities,fmax,f128,fmax,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.31417,4.31906,1.00113,boost::multiprecision::cpp_double_double,-,-,-,1.00113,no,-,-,-,-,-,-,-,-
Floating-point utilities,fdim,f128,fdim,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.31425,4.96457,1.15074,boost::multiprecision::cpp_double_double,-,-,-,1.15074,no,-,-,-,-,-,-,-,-
Floating-point utilities,copysign,f128,copysign,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.29356,4.29239,0.999728,boost::multiprecision::cpp_double_double,-,-,-,0.999728,no,-,-,-,-,-,-,-,-
Floating-point utilities,ldexp,f128,ldexp,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.3076,4.42992,1.02839,qdpp (dd_real),-,-,-,1.01972,yes,-,-,-,-,-,-,4.39253,1.01972
Floating-point utilities,scalbn,f128,scalbn,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.30809,4.42769,1.02776,boost::multiprecision::cpp_double_double,-,-,-,1.02776,yes,-,-,-,-,-,-,4.43416,1.02926
Floating-point utilities,scalbln,f128,scalbln,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.29749,4.43831,1.03277,qdpp (dd_real),-,-,-,1.02147,yes,-,-,-,-,-,-,4.38977,1.02147
Floating-point utilities,frexp,f128,frexp,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,6.38296,6.54159,1.02485,boost::multiprecision::cpp_double_double,-,-,-,1.02485,no,-,-,-,-,-,-,-,-
Floating-point utilities,modf,f128,modf,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,5.14204,8.10997,1.57719,boost::multiprecision::cpp_double_double,-,-,-,1.57719,no,-,-,-,-,-,-,-,-
Floating-point utilities,ilogb,f128,ilogb,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,2.17161,3.02872,1.39469,boost::multiprecision::cpp_double_double,-,-,-,1.39469,no,-,-,-,-,-,-,-,-
Floating-point utilities,logb,f128,logb,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.28597,61.5279,14.3557,boost::multiprecision::cpp_double_double,-,-,-,14.3557,no,-,-,-,-,-,-,-,-
Floating-point utilities,nextafter,f128,nextafter,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.52153,21.3564,4.72327,boost::multiprecision::cpp_double_double,-,-,-,4.72327,no,-,-,-,-,-,-,-,-
Floating-point utilities,nexttoward(type),f128,nexttoward,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.53693,21.8584,4.81788,boost::multiprecision::cpp_double_double,-,-,-,4.81788,no,-,-,-,-,-,-,-,-
Roots & powers,sqrt,f128,sqrt,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,4.36905,4.2832,0.980351,boost::multiprecision::cpp_double_double,-,-,-,0.980351,yes,-,-,-,-,-,-,6.02874,1.37988
Roots & powers,cbrt,f128,cbrt,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,20.4349,335.251,16.4058,qdpp (dd_real),-,-,-,3.41278,yes,-,-,-,-,-,-,69.7396,3.41278
Roots & powers,hypot,f128,hypot,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,10.5305,63.3237,6.01334,boost::multiprecision::cpp_double_double,-,-,-,6.01334,no,-,-,-,-,-,-,-,-
Roots & powers,pow,f128,pow,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,236.906,746.141,3.14952,qdpp (dd_real),-,-,-,1.45192,yes,-,-,-,-,-,-,343.969,1.45192
Exponentials,exp,f128,exp,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,83.3252,341.478,4.09813,qdpp (dd_real),-,-,-,1.86784,yes,-,-,-,-,-,-,155.638,1.86784
Exponentials,exp2,f128,exp2,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,86.5868,753.72,8.70479,boost::multiprecision::cpp_double_double,-,-,-,8.70479,no,-,-,-,-,-,-,-,-
Exponentials,expm1,f128,expm1,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,86.8167,347.156,3.99873,qdpp (dd_real),-,-,-,1.78518,yes,-,-,-,-,-,-,154.983,1.78518
Logarithms,log,f128,log,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,128.085,378.798,2.9574,qdpp (dd_real),-,-,-,1.40239,yes,-,-,-,-,-,-,179.624,1.40239
Logarithms,log2,f128,log2,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,130.122,389.967,2.99692,boost::multiprecision::cpp_double_double,-,-,-,2.99692,no,-,-,-,-,-,-,-,-
Logarithms,log10,f128,log10,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,129.71,388.689,2.9966,qdpp (dd_real),-,-,-,1.56771,yes,-,-,-,-,-,-,203.348,1.56771
Logarithms,log1p,f128,log1p,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,134.594,471.548,3.50347,qdpp (dd_real),-,-,-,1.2744,yes,-,-,-,-,-,-,171.527,1.2744
Trigonometric,sin,f128,sin,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,83.4692,588.261,7.04764,qdpp (dd_real),-,-,-,1.76573,yes,-,-,-,-,-,-,147.384,1.76573
Trigonometric,cos,f128,cos,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,84.4721,592.064,7.00899,qdpp (dd_real),-,-,-,1.76951,yes,-,-,-,-,-,-,149.474,1.76951
Trigonometric,tan,f128,tan,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,99.3472,1191.85,11.9968,qdpp (dd_real),-,-,-,1.73417,yes,-,-,-,No,-,-,172.285,1.73417
Trigonometric,asin,f128,asin,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,164.656,2119.12,12.87,qdpp (dd_real),-,-,-,1.68249,yes,-,-,-,No,-,-,277.032,1.68249
Trigonometric,acos,f128,acos,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,170.939,2078.52,12.1594,qdpp (dd_real),-,-,-,1.60543,yes,-,-,-,No,-,-,274.431,1.60543
Trigonometric,atan,f128,atan,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,113.431,329.064,2.90102,qdpp (dd_real),-,-,-,1.81921,yes,-,-,-,No,-,-,206.354,1.81921
Trigonometric,atan2,f128,atan2,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,134.972,1932.7,14.3192,qdpp (dd_real),-,-,-,1.5455,yes,-,-,-,No,-,-,208.599,1.5455
Hyperbolic,sinh,f128,sinh,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,96.3247,355.462,3.69025,qdpp (dd_real),-,-,-,1.88099,yes,-,-,-,-,-,-,181.185,1.88099
Hyperbolic,cosh,f128,cosh,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,94.5838,361.183,3.81866,qdpp (dd_real),-,-,-,1.93205,yes,-,-,-,-,-,-,182.74,1.93205
Hyperbolic,tanh,f128,tanh,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,100.262,429.464,4.28343,qdpp (dd_real),-,-,-,1.83836,yes,-,-,-,-,-,-,184.317,1.83836
Inverse hyperbolic,asinh,f128,asinh,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,138.937,464.118,3.34049,qdpp (dd_real),-,-,-,1.4394,yes,-,-,-,-,-,-,199.986,1.4394
Inverse hyperbolic,acosh,f128,acosh,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,139.662,452.76,3.24182,qdpp (dd_real),-,-,-,1.39497,yes,-,-,-,-,-,-,194.825,1.39497
Inverse hyperbolic,atanh,f128,atanh,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,115.671,1380.83,11.9376,qdpp (dd_real),-,-,-,1.7257,yes,-,-,-,-,-,-,199.613,1.7257
Special functions,erfc,f128,erfc,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,637.185,920.001,1.44385,boost::multiprecision::cpp_double_double,-,-,-,1.44385,no,-,-,-,-,-,-,-,-
Special functions,erf,f128,erf,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,639.421,932.558,1.45844,boost::multiprecision::cpp_double_double,-,-,-,1.45844,no,-,-,-,-,-,-,-,-
Special functions,tgamma,f128,tgamma,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,454.254,1854.57,4.08267,boost::multiprecision::cpp_double_double,-,-,-,4.08267,no,-,-,-,-,-,-,-,-
Special functions,lgamma,f128,lgamma,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,486.136,1876.55,3.86014,boost::multiprecision::cpp_double_double,-,-,-,3.86014,no,-,-,-,-,-,-,-,-
Comparisons,operator==,f128,operator==,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,2.12901,2.12601,0.998592,qdpp (dd_real),-,-,-,0.992091,yes,-,-,-,-,-,-,2.11217,0.992091
Comparisons,operator!=,f128,operator!=,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,2.13754,2.12027,0.991918,qdpp (dd_real),-,-,-,0.991497,yes,-,-,-,-,-,-,2.11936,0.991497
Comparisons,operator<,f128,operator<,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,2.53539,2.60498,1.02745,qdpp (dd_real),-,-,-,0.947309,yes,-,-,-,-,-,-,2.4018,0.947309
Comparisons,operator>,f128,operator>,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,2.61691,2.83761,1.08434,qdpp (dd_real),-,-,-,0.896852,yes,-,-,-,-,-,-,2.34698,0.896852
Comparisons,operator<=,f128,operator<=,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,2.6518,2.95031,1.11257,qdpp (dd_real),-,-,-,0.943794,yes,-,-,-,-,-,-,2.50276,0.943794
Comparisons,operator>=,f128,operator>=,primary,primary,-,boost::multiprecision::cpp_double_double,yes,-,-,-,-,-,-,-,-,-,-,2.59783,2.60264,1.00185,qdpp (dd_real),-,-,-,0.92392,yes,-,-,-,-,-,-,2.40019,0.92392
